"Thématiques","Critères","Tests","Accueil - Consultation du taux","Accueil - Activation d'options","Actualisation revenus - Actualisation situation","Gestion des acomptes","Historique des prélèvements","Historique des actions"
12,8,1,nc,nc,nc,nc,nc,nc
12,8,2,nc,nc,nc,nc,nc,nc
12,9,1,c,c,c,nc,c,c
12,10,1,,,,,,
12,11,1,nc,nc,nc,nc,nc,nc
13,1,1,na,na,na,na,na,na
13,1,2,na,na,na,na,na,na
13,1,3,na,na,na,na,na,na
13,1,4,nc,nc,nc,nc,nc,nc
13,2,1,,,,,,
13,3,1,,,,,,
13,4,1,,,,,,
13,5,1,,,,,,
13,6,1,,,,,,
13,7,1,,,,,,
13,7,2,,,,,,
13,7,3,,,,,,
13,8,1,,,,,,
13,8,2,,,,,,
13,9,1,,,,,,
13,10,1,,,,,,
13,10,2,,,,,,
13,11,1,,,,,,
13,12,1,,,,,,
13,12,2,,,,,,
13,12,3,,,,,,
